Location,Borough,PostalTown,Latitude,Longitude
Chinbrook,Lewisham,LONDON,51.4294489,0.0330024
Chingford,Waltham Forest,LONDON,51.630887,0.0039962
Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",LONDON,0.0,0.0
Church End,Brent,LONDON,51.5777473,-0.220687
Church End,Barnet,LONDON,51.601117,-0.1918901
Clapham,"Lambeth, Wandsworth",LONDON,51.4525583,-0.1474771
Clerkenwell,Islington,LONDON,51.5237268,-0.1055555
Colindale,Barnet,LONDON,51.5954319,-0.249986304632227
Colliers Wood,Merton,LONDON,51.4179815,-0.1782587
Colney Hatch,Barnet,LONDON,51.6025172,-0.1480126
Covent Garden,Westminster,LONDON,51.5128736,-0.122543679185769
Cricklewood,"Barnet, Brent, Camden",LONDON,51.5566986,-0.2157507
Crofton Park,Lewisham,LONDON,51.4552265,-0.0366176
Crossness,Bexley,LONDON,51.509037,0.138410985972535
Crouch End,Haringey,LONDON,51.5787402,-0.1235992
Crystal Palace,Bromley,LONDON,51.4193664,-0.0711328
Cubitt Town,Tower Hamlets,LONDON,51.4936677,-0.0082433
Custom House,Newham,LONDON,51.52999955,0.0293179602938221
Dalston,Hackney,LONDON,51.5434023,-0.0672286
Dartford,Dartford,LONDON,51.4464889,0.264805
De Beauvoir Town,Islington,LONDON,51.5380457,-0.09208
Denmark Hill,Southwark,LONDON,51.468043,-0.0896031
Deptford,Lewisham,LONDON,51.4758453,-0.0215164
Dollis Hill,Brent,LONDON,51.5519106,-0.23836170249367
Dulwich,Southwark,LONDON,51.4418786,-0.0843244
Ealing,Ealing,LONDON,51.5126553,-0.3051952
Earls Court,Kensington and Chelsea,LONDON,51.49119595,-0.19458637610403
Earlsfield,Wandsworth,LONDON,51.4464482,-0.1893941
East Dulwich,Southwark,LONDON,51.4615604,-0.0803888
East Finchley,Barnet,LONDON,51.5872196,-0.1648431
East Ham,Newham,LONDON,51.5329628,0.0553201
East Sheen,Richmond upon Thames,LONDON,51.4623706,-0.267094
Edmonton,Enfield,LONDON,51.6203392,-0.0659791
Elephant and Castle,Southwark,LONDON,51.4953131,-0.100509
Eltham,Greenwich,LONDON,51.4555936,0.0522692
Farringdon,Islington & City,LONDON,51.5201241,-0.1047928
Finchley,Barnet,LONDON,51.5973246,-0.1805587
Finsbury,Islington,LONDON,51.5265742,-0.1070713
Finsbury Park,"Haringey, Islington",LONDON,51.564842,-0.1060893
Fitzrovia,Camden,LONDON,51.5187642,-0.1410017
Forest Gate,Newham,LONDON,51.5495236,0.0249248
Forest Hill,Lewisham,LONDON,51.4392494,-0.0530179
Fortis Green,Haringey,LONDON,51.590997,-0.1534208
Friern Barnet,Barnet,LONDON,51.6128484,-0.158614
Frognal,Camden,LONDON,51.5550553,-0.1828606
Fulham,Hammersmith and Fulham,LONDON,51.4744221,-0.2060772
Gipsy Hill,Lambeth,LONDON,51.4247042,-0.0845885
Golders Green,Barnet,LONDON,51.5718315,-0.1955219
Gospel Oak,Camden,LONDON,51.5536863,-0.1517524
Grahame Park,Barnet,LONDON,51.6028898,-0.244866
Grange Park,Enfield,LONDON,51.6433237,-0.0969173
Greenwich,Greenwich,LONDON,51.4820845,-0.0045417
Grove Park,Hounslow,LONDON,51.4780162,-0.3418221
Grove Park,Lewisham,LONDON,51.4318969,0.0212344
Gunnersbury,Hounslow,LONDON,51.4920088,-0.2753987
Hackney,Hackney,LONDON,51.5432402,-0.0493621
Hackney Central,Hackney,LONDON,51.5470943,-0.0571899236646886
Hackney Marshes,Hackney,LONDON,51.55649645,-0.02917186493387
Hackney Wick,Hackney,LONDON,51.5434262,-0.0277034
Haggerston,Hackney,LONDON,51.5385184,-0.0753811
The Hale,Barnet,LONDON,51.618006,-0.256795
Hammersmith,Hammersmith and Fulham,LONDON,51.4920377,-0.2236401
Hampstead,Camden,LONDON,51.5542879,-0.1740747
Hampstead Garden Suburb,Barnet,LONDON,51.5805081,-0.1806164
Hanwell,Ealing,LONDON,51.5089838,-0.3381584
Harlesden,Brent,LONDON,51.53631235,-0.257885135701223
Harringay,Haringey,LONDON,51.5773885,-0.1053581
Hendon,Barnet,LONDON,51.5897442,-0.22162
Herne Hill,Lambeth,LONDON,51.4554407,-0.1001002
Highams Park,Waltham Forest,LONDON,51.6072197,-5.22e-05
Highbury,Islington,LONDON,51.5457996,-0.1027127
Highgate,Camden,LONDON,51.5744322,-0.1526837
Hither Green,Lewisham,LONDON,51.4502982,-0.0054183
Holborn,Camden,LONDON,51.5176949,-0.119335
Holland Park,Kensington and Chelsea,LONDON,51.5072349,-0.205406683153512
Holloway,Islington,LONDON,51.5572453,-0.1183706
Homerton,Hackney,LONDON,51.5470502,-0.0429216268814371
Honor Oak,Lewisham,LONDON,51.4499075,-0.0399142
Horn Park,"Greenwich, Lewisham",LONDON,0.0,0.0
Hornsey,Haringey,LONDON,51.5864233,-0.1117024
Hoxton,Hackney,LONDON,51.5312914,-0.0758535
The Hyde,Barnet,LONDON,51.5914433,-0.2566116
Isle of Dogs,Tower Hamlets,LONDON,51.4978447,-0.0168854
Islington,Islington,LONDON,51.5384287,-0.0999051
Kennington,"Lambeth, Southwark",LONDON,51.487351,-0.107454
Kensal Green,Brent,LONDON,51.530584,-0.224096945359481
Kensington,Kensington and Chelsea,LONDON,51.4989948,-0.1991229
Kentish Town,Camden,LONDON,51.5500658,-0.1425625
Kidbrooke,Greenwich,LONDON,51.4675731,0.0285241
Kilburn,"Brent, Camden",LONDON,51.54686215,-0.204230457670569
King's Cross,Camden and Islington,LONDON,51.5320529,-0.1206259
Kingsbury,Brent,LONDON,51.5843174,-0.2787137
Kingston Vale,Kingston upon Thames,LONDON,51.43185,-0.2581379
Knightsbridge,Westminster,LONDON,51.5008444,-0.166965
Ladywell,Lewisham,LONDON,51.4560257,-0.0191917
Lambeth,Lambeth,LONDON,51.5013012,-0.117287
Lea Bridge,Hackney,LONDON,51.5621443,-0.0458274
Leamouth,Tower Hamlets,LONDON,51.5125692,3.04e-05
Lee,Lewisham,LONDON,51.4496983,0.0145218
Lewisham,Lewisham,LONDON,51.4624325,-0.0101331
Leyton,Waltham Forest,LONDON,51.5696734,-0.015681
Leytonstone,Waltham Forest,LONDON,51.5710783,0.0064237
Limehouse,Tower Hamlets,LONDON,51.5133074,-0.0351492
Lisson Grove,Westminster,LONDON,51.5262037,-0.171446
Little Ilford,Newham,LONDON,51.550298,0.0625225
Little Venice,Westminster,LONDON,51.5211948,-0.1824045
Lower Clapton,Hackney,LONDON,51.5546565,-0.0550912
Maida Vale,Westminster,LONDON,51.527592,-0.1905916
Manor House,Hackney,LONDON,51.57128,-0.0959125
Manor Park,Newham,LONDON,51.5525517,0.0464668383079108
Maryland,Newham,LONDON,51.54597925,0.00567217064665446
Marylebone,Westminster,LONDON,51.5220589,-0.1504553
Mayfair,Westminster,LONDON,51.5110872,-0.147058
Maze Hill,Greenwich,LONDON,51.4826106,0.0035322
Merton Park,Merton,LONDON,51.4136398,-0.201137
Middle Park,Greenwich,LONDON,51.4453135,0.0400849
Mile End,Tower Hamlets,LONDON,0.0,0.0
Mill Hill,Barnet,LONDON,51.6154423,-0.2330675
Millbank,Westminster,LONDON,51.4926121,-0.1290435
Millwall,Tower Hamlets,LONDON,51.4933423,-0.0212187
Mortlake,Richmond upon Thames,LONDON,51.46892475,-0.25799671820389
Mottingham,Bromley,LONDON,51.4310266,0.0432655751818898
Muswell Hill,Haringey and Barnet,LONDON,51.60156715,-0.15777407046777
Nag's Head,Islington,LONDON,51.5338502,-0.1058267
Neasden,Brent,LONDON,51.5543175,-0.25065336574582
New Cross,Lewisham,LONDON,51.4763706,-0.0326237
New Eltham,Greenwich,LONDON,51.4362297,0.0685289
New Southgate,Barnet,LONDON,51.6140016,-0.1430349
Newington,Southwark,LONDON,51.48528865,-0.101612660139174
Nine Elms,Wandsworth,LONDON,51.4787433,-0.1362629
Norbury,Croydon,LONDON,51.4110663,-0.1224869
North Finchley,Barnet,LONDON,51.6124905,-0.1756922
North Kensington,Kensington and Chelsea,LONDON,51.5196647,-0.2106959
North Woolwich,Newham,LONDON,51.5004071,0.064154
Notting Hill,Kensington and Chelsea,LONDON,51.5109995,-0.2055267
Nunhead,Southwark,LONDON,51.4668888,-0.0523564
Oakleigh Park,Barnet,LONDON,51.6377516,-0.1662835
Old Ford,Tower Hamlets,LONDON,51.5341124,-0.0268215
Old Oak Common,Hammersmith and Fulham,LONDON,51.52921055,-0.240941047428597
Osidge,Barnet,LONDON,51.632198,-0.1430039
Oval,Lambeth,LONDON,51.48375215,-0.114961827116015
Paddington,Westminster,LONDON,51.5163047,-0.1792423
Palmers Green,Enfield,LONDON,51.618324,-0.1104923
Park Royal,"Brent, Ealing",LONDON,0.0,0.0
Parsons Green,Hammersmith and Fulham,LONDON,51.4752863,-0.2011559
Peckham,Southwark,LONDON,51.4734122,-0.0699321
Penge,Bromley,LONDON,51.4146841,-0.0534213
Pentonville,Islington,LONDON,51.5318579,-0.1084232
Pimlico,Westminster,LONDON,51.4889993,-0.1398817
Plaistow,Newham,LONDON,51.5293798,0.0249097
Plumstead,Greenwich,LONDON,51.4804635,0.0924286
Poplar,Tower Hamlets,LONDON,51.5111811,-0.0143883
Primrose Hill,Camden,LONDON,51.5390165,-0.161937862843925
Putney,Wandsworth,LONDON,51.4625524,-0.2167462
Queen's Park,Brent,LONDON,51.533822,-0.205698717089611
Ratcliff,Tower Hamlets,LONDON,0.0,0.0
Raynes Park,Merton,LONDON,51.404871,-0.2344037
Roehampton,Wandsworth,LONDON,51.4498773,-0.2412672
Rotherhithe,Southwark,LONDON,51.5007782,-0.0519063
Sands End,Hammersmith and Fulham,LONDON,51.4725454,-0.1871122
Selhurst,Croydon,LONDON,51.3922553,-0.0885798
Seven Sisters,Haringey,LONDON,51.5800926,-0.0723219
Shacklewell,Hackney,LONDON,51.5523761,-0.0701582
Shadwell,Tower Hamlets,LONDON,51.51125,-0.0569241
Shepherd's Bush,Hammersmith and Fulham,LONDON,51.5047579,-0.218631193172227
Shooter's Hill,Greenwich,LONDON,51.4692255,0.066306
Shoreditch,Hackney,LONDON,51.5266694,-0.0798926
Silvertown,Newham,LONDON,51.5013626,0.0385185
Snaresbrook,"Redbridge, Waltham Forest",LONDON,0.0,0.0
Soho,Westminster,LONDON,51.5131628,-0.1311754
Somerstown,Camden,LONDON,0.0,0.0
South Hackney,Hackney,LONDON,51.5432402,-0.0493621
South Kensington,Kensington and Chelsea,LONDON,51.4940645,-0.1738648
South Norwood,Croydon,LONDON,51.3980951,-0.0768216
South Wimbledon,Merton,LONDON,51.4163207,-0.1939611
South Woodford,Redbridge,LONDON,51.5917813,0.027389
South Tottenham,Haringey,LONDON,51.5782495,-0.073678
Southend,Lewisham,LONDON,51.4203458,-0.0218651
Southfields,Wandsworth,LONDON,51.445142,-0.2065451
Southgate,Enfield,LONDON,51.6281547,-0.123596
Spitalfields,Tower Hamlets,LONDON,51.5195274,-0.0751701
St James's,Westminster,LONDON,51.5079082,-0.1365727
St Giles,Camden,LONDON,51.5160098,-0.1219057
St Johns,Lewisham,LONDON,51.4690905,-0.0221846
St John's Wood,Westminster,LONDON,51.53469755,-0.174122846857737
St Luke's,Islington,LONDON,51.5268671,-0.0959005
St Pancras,Camden,LONDON,51.5322906,-0.1259994
Stamford Hill,Hackney,LONDON,51.5744324,-0.0766481
Stepney,Tower Hamlets,LONDON,51.5174023,-0.0462189
Stockwell,Lambeth,LONDON,51.4672726,-0.1209153
Stoke Newington,Hackney,LONDON,51.5576971,-0.0772816
Stonebridge,Brent,LONDON,51.5413501,-0.266604131357781
Stratford,Newham,LONDON,51.541289,-0.0035472
Streatham,Lambeth,LONDON,51.429769,-0.1311105
Stroud Green,Haringey,LONDON,51.5716864,-0.1114972
Surrey Quays,Southwark,LONDON,51.4934207,-0.0478319
Swiss Cottage,Camden,LONDON,51.5438518,-0.1750178
Sydenham,"Lewisham, Bromley",LONDON,51.4245686,-0.0333415
Sydenham Hill,"Lewisham, Southwark",LONDON,51.437293,-0.0639746
Temple,"City, Westminster",LONDON,51.5110239,-0.114047667067428
Tooting,Wandsworth,LONDON,51.4266588,-0.1690768
Tooting Bec,Wandsworth,LONDON,51.4355983,-0.1596505
Tottenham,Haringey,LONDON,51.5976955,-0.0672892
Tottenham Green,Haringey,LONDON,51.58775405,-0.0714760818156741
Tottenham Hale,Haringey,LONDON,51.5882436,-0.0627578
Totteridge,Barnet,LONDON,51.6331335,-0.2008636
Tower Hill,Tower Hamlets,LONDON,51.509889,-0.0767175082329294
Tufnell Park,Islington,LONDON,51.556808,-0.1384329
Tulse Hill,Lambeth,LONDON,51.439867,-0.1050481
Turnpike Lane,Haringey,LONDON,51.590204,-0.1036932
Upper Clapton,Hackney,LONDON,51.5668384,-0.0605697
Upper Holloway,Islington,LONDON,51.56351695,-0.129582030796927
Upper Norwood,Croydon,LONDON,51.4164053,-0.0940347
Upper Walthamstow,Waltham Forest,LONDON,51.5844701,-0.0188186
Upton Park,Newham,LONDON,51.5369171,0.034673
Vauxhall,Lambeth,LONDON,51.4858478,-0.1227502
Walthamstow,Waltham Forest,LONDON,51.5844701,-0.0188186
Walthamstow Village,Waltham Forest,LONDON,51.5836835,-0.0121451
Walworth,Southwark,LONDON,51.4901142,-0.0906603
Wandsworth,Wandsworth,LONDON,51.4570271,-0.1932607
Wanstead,Redbridge,LONDON,51.5756739,0.0277989
Wapping,Tower Hamlets,LONDON,51.5054363,-0.0587291
Well Hall,Greenwich,LONDON,51.4574683,0.0501437
West Brompton,Kensington and Chelsea,LONDON,51.4871745,-0.1954057
West Ealing,Ealing,LONDON,51.5104133,-0.3235244
West Green,Haringey,LONDON,51.5868063,-0.0898489
West Hackney,Hackney,LONDON,51.5608595,-0.0691322
West Ham,Newham,LONDON,51.5343247,0.0077912
West Hampstead,Camden,LONDON,51.54675025,-0.19076383178391
West Heath,Bexley,LONDON,51.4808745,0.1273574
West Hendon,Barnet,LONDON,51.578213,-0.2403793
West Kensington,Hammersmith and Fulham,LONDON,51.4909928,-0.207486
West Norwood,Lambeth,LONDON,51.4316172,-0.1035239
Westcombe Park,Greenwich,LONDON,51.4842204,0.0188787
Westminster,Westminster,LONDON,51.5011465,-0.1252066
Whetstone,Barnet,LONDON,51.6301762,-0.1748844
White City,Hammersmith and Fulham,LONDON,51.5116999,-0.22450201804504
Whitechapel,Tower Hamlets,LONDON,51.5186227,-0.0620807
Willesden,Brent,LONDON,51.5466216,-0.2358661
Wimbledon,Merton,LONDON,51.4213762,-0.206699
Winchmore Hill,Enfield,LONDON,51.6339405,-0.101003
Wood Green,Haringey,LONDON,51.5959898,-0.1091471
Woodford,Redbridge,LONDON,51.60705645,0.0339654023118993
Woodside Park,Barnet,LONDON,51.6208368,-0.187084
Woolwich,Greenwich,LONDON,51.4826696,0.0623335
Wormwood Scrubs,Hammersmith and Fulham,LONDON,51.52137985,-0.240439290572011
